Designator,Mid X,Mid Y,Rotation,Layer
C1,110.93,-112.61,270.0,top
C10,112.22,-101.37,270.0,top
C11,114.31,-101.37,270.0,top
C12,115.09,-111.52,270.0,top
C13,113.01,-111.51,270.0,top
C14,89.25,-102.675,90.0,top
C15,81.97,-104.19,0.0,bottom
C16,83.17,-106.2,0.0,bottom
C19,110.92,-116.05,270.0,top
C2,96.3,-95.27,0.0,top
C3,103.6,-94.59,180.0,top
C6,111.61,-85.31,180.0,top
C7,111.67,-87.49,180.0,top
C8,89.05,-85.7,90.0,top
C9,116.92,-104.86,0.0,top
D1,112.37,-102.85,270.0,bottom
J1,92.149697,-90.675,0.0,top
J2,107.649697,-90.675,0.0,top
J3,100.0,-84.836,180.0,top
J4,95.845,-113.66,180.0,bottom
J5,93.57,-108.15,0.0,bottom
Q1,117.47,-93.3,180.0,bottom
R1,113.58,-113.99,180.0,top
R10,89.25,-99.12,270.0,top
R11,89.21,-106.11,270.0,top
R12,113.85,-107.975,270.0,top
R13,87.225,-104.0125,90.0,top
R14,89.4,-111.63,90.0,bottom
R15,104.64,-99.77,270.0,bottom
R16,110.47,-93.3375,90.0,bottom
R2,100.15,-107.3,180.0,bottom
R3,107.57,-110.86,180.0,bottom
R4,111.45,-106.4675,270.0,top
R5,95.0,-91.0,270.0,top
R6,104.5,-91.0,270.0,top
R7,91.4,-111.63,90.0,bottom
R8,101.49,-92.56,0.0,top
R9,97.98,-92.57,0.0,top
RST,113.43,-93.3,270.0,top
SW1,84.46,-97.32,270.0,top
T1,84.629674,-98.04,230.0,top
U1,99.93,-96.11,90.0,top
U2,113.9,-104.8,90.0,top
U3,116.865,-107.8,0.0,top
U4,83.025,-104.8,90.0,top
U5,100.075,-113.625,180.0,top
U6,84.43,-97.1125,0.0,top
U7,90.5,-107.772,0.0,bottom
U8,100.354999,-116.094999,180.0,bottom
